isConverged	Q1	Q20	Q30	Q40	q5	q6	q7	q8	EHFB
True	3e-06	33.049113	1e-06	1.227507	0.0	0.387252	1e-06	0.135437	-1888.750009
True	2e-06	33.55906	2e-06	1.251586	0.0	0.425241	0.0	0.146222	-1888.267133
True	2e-06	33.410255	1e-06	1.242113	0.0	0.429027	0.0	0.150065	-1887.710086
True	1e-06	32.883881	1e-06	1.230853	0.0	0.359912	0.0	0.13181	-1889.031561
True	4e-06	33.692889	1e-06	1.238398	0.0	0.489118	0.0	0.170983	-1888.674743
True	1e-06	33.002039	0.0	1.20706	0.0	0.423264	0.0	0.150925	-1887.964823
True	1e-06	32.435964	2e-06	1.189981	0.0	0.348076	0.0	0.130123	-1888.50399
True	1e-06	33.699064	3e-06	1.256744	0.0	0.442849	0.0	0.152159	-1888.780894
True	2e-06	33.284397	1e-06	1.248933	0.0	0.388949	1e-06	0.137967	-1887.837121
True	1e-06	33.217655	0.0	1.23957	0.0	0.404557	0.0	0.142906	-1888.276879
True	1e-06	32.940106	2e-06	1.233644	0.0	0.353639	0.0	0.124854	-1888.604843
True	2e-06	33.801992	4e-06	1.277516	0.0	0.43408	1e-06	0.150881	-1888.995383
True	1e-06	33.889	5e-06	1.286058	0.0	0.435922	0.0	0.156771	-1888.056822
True	1e-06	33.956284	1e-06	1.288902	0.0	0.433936	0.0	0.147577	-1887.897388
True	1e-06	32.777553	3e-06	1.247451	0.0	0.305321	0.0	0.114858	-1888.428326
True	2e-06	33.376371	9e-06	1.28548	1e-06	0.344377	0.0	0.12739	-1887.902432
True	0.0	34.0141	1.2e-05	1.306362	1e-06	0.423576	1e-06	0.154234	-1888.560924
True	1e-06	33.615346	1.1e-05	1.300727	1e-06	0.360346	1e-06	0.132833	-1888.503545
True	2e-06	33.677345	9e-06	1.314089	1e-06	0.35871	1e-06	0.134623	-1888.416348
True	1e-06	33.907991	9e-06	1.344959	1e-06	0.3318	1e-06	0.123529	-1888.901967
True	2e-06	34.110512	5e-06	1.307512	1e-06	0.423443	0.0	0.147851	-1888.713527
True	2e-06	33.203263	7e-06	1.311652	1e-06	0.287459	0.0	0.112956	-1888.748867
True	3e-06	34.099966	1.1e-05	1.344786	1e-06	0.360703	1e-06	0.129298	-1888.940756
True	2e-06	34.276503	1.2e-05	1.351121	1e-06	0.380879	0.0	0.136726	-1888.473011
True	1e-06	34.128834	1.2e-05	1.331974	1e-06	0.390271	1e-06	0.138642	-1889.92624
True	3e-06	33.636164	5e-06	1.290574	0.0	0.365195	0.0	0.122185	-1888.449238
True	0.0	33.464771	6e-06	1.275844	0.0	0.375034	0.0	0.136206	-1888.521569
True	1e-06	33.585573	1e-06	1.301795	0.0	0.36844	0.0	0.136678	-1889.517069
True	0.0	33.376644	3e-06	1.280956	0.0	0.366206	0.0	0.142224	-1889.515377
True	2e-06	32.978351	1e-06	1.224528	0.0	0.381233	0.0	0.140691	-1888.788376
True	0.0	33.461874	5e-06	1.258076	0.0	0.4126	0.0	0.151751	-1889.099837
True	0.0	33.547658	5e-06	1.257009	0.0	0.418583	0.0	0.147896	-1888.837954
True	1e-06	33.087876	2e-06	1.247616	0.0	0.366872	0.0	0.137819	-1888.742378
True	2e-06	33.442658	2e-06	1.242059	0.0	0.429712	0.0	0.149323	-1888.625113
True	1e-06	33.660156	2e-06	1.259275	0.0	0.436908	0.0	0.146779	-1888.215042
True	3e-06	33.481708	2e-06	1.234184	0.0	0.446064	1e-06	0.14909	-1888.722585
True	3e-06	32.418379	4e-06	1.214079	0.0	0.307122	1e-06	0.115386	-1888.043388
True	2e-06	33.714162	4e-06	1.248214	0.0	0.468635	1e-06	0.155691	-1889.05076
True	0.0	33.204233	2e-06	1.242819	0.0	0.388953	0.0	0.135252	-1887.621147
True	2e-06	33.630368	2e-06	1.249083	0.0	0.44369	0.0	0.148462	-1888.248408
True	1e-06	33.193038	0.0	1.243632	0.0	0.379736	0.0	0.131009	-1888.529315
True	2e-06	32.540152	0.0	1.189762	0.0	0.360027	0.0	0.12886	-1888.70385
True	3e-06	33.516087	0.0	1.241356	0.0	0.442503	0.0	0.146967	-1888.420544
True	2e-06	32.462218	0.0	1.193951	0.0	0.340301	0.0	0.121378	-1889.407235
True	1e-06	33.747662	1e-06	1.253252	0.0	0.467182	0.0	0.156375	-1888.353012
True	1e-06	33.663792	1e-06	1.233212	0.0	0.496134	1e-06	0.169663	-1887.709965
True	1e-06	32.492104	1e-06	1.18268	0.0	0.372694	0.0	0.134287	-1888.170924
True	0.0	32.852423	4e-06	1.229991	0.0	0.358672	0.0	0.131434	-1888.13516
True	3e-06	33.557265	2e-06	1.251762	0.0	0.440673	0.0	0.151991	-1888.858506
True	2e-06	32.950505	1e-06	1.21844	0.0	0.383326	0.0	0.145363	-1889.716092
True	0.0	32.129628	0.0	1.177762	0.0	0.309871	0.0	0.122831	-1888.909139
True	3e-06	32.380059	0.0	1.195686	1e-06	0.321923	1e-06	0.125254	-1888.875885
True	2e-06	33.612082	2e-06	1.260903	0.0	0.439335	1e-06	0.162588	-1888.80511
True	2e-06	32.902793	1e-06	1.247561	0.0	0.339891	0.0	0.126418	-1889.040958
True	3e-06	32.23444	1e-06	1.20309	0.0	0.285132	0.0	0.113108	-1888.7794
True	2e-06	33.090051	3e-06	1.252467	0.0	0.359733	0.0	0.137419	-1889.451339
True	2e-06	33.802366	4e-06	1.309722	0.0	0.378195	1e-06	0.141085	-1889.275164
True	2e-06	33.873935	1e-06	1.309239	0.0	0.391721	0.0	0.146445	-1888.907036
True	4e-06	32.967988	6e-06	1.285019	1e-06	0.286329	1e-06	0.118814	-1889.981666
True	4e-06	33.509701	5e-06	1.313766	0.0	0.326618	1e-06	0.124875	-1888.969636
True	3e-06	33.354755	1e-06	1.281029	0.0	0.35695	0.0	0.135382	-1890.169691
True	3e-06	33.23784	1e-06	1.261969	0.0	0.367281	1e-06	0.137158	-1888.544565
True	2e-06	32.042283	1e-06	1.196026	0.0	0.266069	0.0	0.107801	-1888.735827
True	1e-06	32.362607	3e-06	1.200362	0.0	0.309155	0.0	0.116505	-1888.198829
True	1e-06	33.592766	0.0	1.280746	0.0	0.406804	0.0	0.147435	-1889.450629
True	2e-06	33.34589	5e-06	1.247496	0.0	0.417606	1e-06	0.150941	-1887.861971
True	2e-06	33.267012	5e-06	1.249836	0.0	0.396684	1e-06	0.147635	-1888.902959
True	2e-06	33.20999	3e-06	1.239447	0.0	0.410139	0.0	0.145551	-1888.778052
True	1e-06	32.162332	2e-06	1.204573	0.0	0.278664	1e-06	0.112676	-1888.639841
True	0.0	33.30944	4e-06	1.261843	0.0	0.367859	0.0	0.135963	-1890.08301
True	1e-06	33.452894	1e-06	1.275753	0.0	0.388691	0.0	0.149407	-1890.23308
True	1e-06	31.706644	1e-06	1.192794	0.0	0.226456	0.0	0.101685	-1888.665001
True	2e-06	33.474516	2e-06	1.296869	0.0	0.349811	0.0	0.135325	-1888.713567
True	1e-06	33.599595	1e-06	1.299711	0.0	0.365845	0.0	0.138563	-1889.167741
True	0.0	33.056526	0.0	1.266888	0.0	0.333209	0.0	0.126389	-1889.225815
True	1e-06	33.106444	1e-06	1.25586	0.0	0.347556	0.0	0.132245	-1889.398333
True	0.0	32.770416	2e-06	1.247827	0.0	0.313062	0.0	0.126264	-1890.119335
True	2e-06	32.044704	1e-06	1.212535	0.0	0.249294	0.0	0.106795	-1889.885697
True	1e-06	32.736921	3e-06	1.258162	0.0	0.291649	0.0	0.116626	-1889.370734
True	1e-06	32.861526	2e-06	1.231272	0.0	0.353642	0.0	0.138985	-1888.589649
True	2e-06	33.032564	1e-06	1.238162	0.0	0.36204	0.0	0.138975	-1889.109562
True	2e-06	33.783396	5e-06	1.286755	0.0	0.416429	0.0	0.15338	-1888.766234
True	1e-06	32.508239	1e-06	1.207663	0.0	0.320442	0.0	0.123238	-1888.723107
True	0.0	32.343484	1e-06	1.175252	0.0	0.349919	0.0	0.13239	-1888.29788
True	2e-06	32.981284	0.0	1.219639	0.0	0.384886	0.0	0.144389	-1887.710414
True	0.0	32.352358	1e-06	1.199354	0.0	0.316152	0.0	0.121622	-1887.798666
True	1e-06	33.874189	4e-06	1.274416	0.0	0.450975	0.0	0.156565	-1888.773538
True	3e-06	32.952999	3e-06	1.242222	0.0	0.355116	0.0	0.129723	-1889.010349
True	2e-06	33.81362	4e-06	1.26216	0.0	0.455112	1e-06	0.15144	-1889.893807
True	1e-06	33.176867	4e-06	1.22777	0.0	0.412859	0.0	0.141653	-1888.558529
True	1e-06	33.563124	3e-06	1.243582	0.0	0.446252	0.0	0.149474	-1888.601506
True	1e-06	33.091845	0.0	1.233822	0.0	0.376282	0.0	0.128168	-1888.468974
True	3e-06	33.049699	2e-06	1.232562	0.0	0.380013	1e-06	0.129608	-1888.568122
True	3e-06	32.732445	0.0	1.215128	0.0	0.340838	0.0	0.119894	-1888.658474
True	1e-06	33.192861	1e-06	1.244225	0.0	0.386202	0.0	0.128972	-1886.617767
True	1e-06	33.066955	1e-06	1.223842	0.0	0.392715	0.0	0.13126	-1888.79647
